Year,Month,Country,all_Northing,all_Easting,T_area (ha),Lat,Lon
2010,Apr,Arabia,['2247N'],['3901E'],673,22.47,39.01
2011,Apr,Mauritania,"['2034N', '1945N', '2032N', '2244N', '2510N']","['1531W', '1421W', '1308W', '1221W', '1135W']",8053,25.10,-11.35
2011,Apr,Morocco,"['2859N', '3128N', '3207N', '2120N', '2233N']","['1003W', '0410W', '0113W', '1523W', '1419W']",329,22.33,-14.19
2011,Apr,Algeria,"['2753N', '2250N', '2741N', '3011N']","['0017W', '0528E', '0811W', '0214W']",440,30.11,-02.14
2011,Apr,Egypt,"['2308N', '2224N']","['3535E', '3624E']",2150,22.24,36.24
2011,Apr,Arabia,"['2008N', '2501N']","['4016E', '3716E']",13124,25.01,37.16
2012,Apr,Algeria,"['2618N', '2630N', '2452N', '2753N', '2250N']","['0919E', '0825E', '0826E', '0017W', '0528E']",3360,22.50,05.28
2012,Apr,Libya,['2459N'],['1011E'],3535,24.59,10.11
2013,Apr,Algeria,"['3135N', '3245N', '3150N', '2753N', '2712N', '2741N', '2434N', '2630N']","['0217W', '0035W', '0100E', '0017W', '0229E', '0811W', '0528E', '0930E', '0825E']",4664,26.30,08.25
2013,Apr,Sudan,"['1734N', '2147N']","['3358E', '3122E']",2252,21.47,31.22
2013,Apr,Eritrea,"['1551N', '1745N', '1546N', '1633N']","['3903E', '3820E', '3827E', '3908E']",1060,16.33,39.08
2013,Apr,Arabia,"['2823N', '2542N', '2501N', '2309N']","['3635E', '3917E', '3716E', '3851E']",13712,23.09,38.51
2014,Apr,Sudan,"['2002N', '2119N']","['3551E', '3613E']",3620,21.19,36.13
2014,Apr,Eritrea,"['1507N', '1441N']","['4004E', '4057E']",105,14.41,40.57
2014,Apr,Ethiopia,"['0947N', '0922N', '0935N', '1045N', '0832N']","['4311E', '4250E', '4150E', '4234E', '3916E']",2370,08.32,39.16
2014,Apr,Arabia,"['2405N', '2615N', '2008N', '1909N', '2115N', '2542N', '2731N', '2948N']","['3802E', '3627E', '4016E', '4107E', '4021E', '3917E', '4141E', '3952E']",19994,29.48,39.52
2014,Apr,Iran,"['2540N', '2757N']","['5746E', '5742E']",600,27.57,57.42
2016,Apr,Mauritania,"['2244N', '2510N', '2032N']","['1221W', '1135W', '1308W']",1358,20.32,-13.08
2016,Apr,Algeria,"['2712N', '2250N']","['0229E', '0528E']",26,22.50,05.28
2016,Apr,Morocco,"['2233N', '2138N', '3207N']","['1419W', '1453W', '0113W']",6502,32.07,-01.13
2017,Apr,Algeria,"['2753N', '2712N', '3135N', '2741N', '2250N']","['0017W', '0229E', '0217W', '0811W', '0528E']",32,22.50,05.28
2019,Apr,MAURITANIA,"['1945N', '2032N', '2027N']","['1421W', '1308W', '1221W']",88,20.27,-12.21
2019,Apr,EGYPT,"['2224N', '2213N', '2217N', '2359N', '2504N']","['3624E', '3638E', '3546E', '3524E', '3454E']",7,25.04,34.54
2019,Apr,SAUDI ARABIA,"['2501N', '2615N', '2346N', '2215N', '2008N', '2439N', '2621N', '2700N', '2731N', '2028N', '1729N']","['3716E', '3627E', '3847E', '3906E', '4016E', '4642E', '4358E', '4939E', '4141E', '4747E', '4408E']",27,17.29,44.08
2019,Apr,IRAN,"['2634N', '2711N', '2757N', '2712N', '3133N', '2540N', '2517N', '2854N', '2708N']","['5452E', '5619E', '5742E', '6042E', '6002E', '5746E', '6036E', '5050E', '5705E']",86,27.08,57.05
2019,Apr,PAKISTAN,"['2515N', '2508N', '2600N', '2658N', '2832N', '2749N', '2548N', '2512N']","['6328E', '6219E', '6303E', '6406E', '6526E', '6639E', '6637E', '6438E']",540,25.12,64.38
2020,Apr,ETHIOPIA,"['0602N', '0504N', '0520N', '0550N', '0935N', '0922N', '1045N']","['3733E', '3723E', '3935E', '4205E', '4150E', '4250E', '4234E']",99,10.45,42.34
